Content,Type,Feature
Graph 1 (Food),Graph 2 (Food),-54
Graph 1 (Food),Graph 3 (Food),-53
Graph 1 (Food),Graph 4 (Food),-47
Graph 1 (Food),Graph 5 (Food),-2
Graph 1 (Food),Graph 6 (Food),-57
Graph 1 (Food),Graph 7 (Food),-56
Graph 1 (Food),Graph 8 (Food),-54
Graph 1 (Food),Graph 9 (Food),-55
Graph 1 (Food),Graph 10 (Food),-53
Graph 1 (Food),Graph 11 (Food),-55
Graph 1 (Food),Graph 12 (Food),-2
Graph 1 (Food),Graph 13 (Finance),0
Graph 1 (Food),Graph 14 (Finance),0
Graph 1 (Food),Graph 15 (Finance),0
Graph 1 (Food),Graph 16 (Finance),0
Graph 1 (Food),Graph 17 (Finance),0
Graph 1 (Food),Graph 18 (Finance),0
Graph 1 (Food),Graph 19 (Finance),0
Graph 1 (Food),Graph 20 (Finance),0
Graph 1 (Food),Graph 21 (Finance),0
Graph 1 (Food),Graph 22 (Finance),0
Graph 1 (Food),Graph 23 (Finance),0
Graph 1 (Food),Graph 24 (Finance),0
Graph 1 (Food),Graph 25 (Travel),0
Graph 1 (Food),Graph 26 (Travel),0
Graph 1 (Food),Graph 27 (Travel),-2
Graph 1 (Food),Graph 28 (Travel),0
Graph 1 (Food),Graph 29 (Travel),0
Graph 1 (Food),Graph 30 (Travel),-1
Graph 1 (Food),Graph 31 (Travel),0
Graph 1 (Food),Graph 32 (Travel),-1
Graph 1 (Food),Graph 33 (Travel),-1
Graph 1 (Food),Graph 34 (Travel),-2
Graph 1 (Food),Graph 35 (Travel),-1
Graph 1 (Food),Graph 36 (Travel),0
Graph 2 (Food),Graph 3 (Food),-52
Graph 2 (Food),Graph 4 (Food),-48
Graph 2 (Food),Graph 5 (Food),0
Graph 2 (Food),Graph 6 (Food),-52
Graph 2 (Food),Graph 7 (Food),-52
Graph 2 (Food),Graph 8 (Food),-52
Graph 2 (Food),Graph 9 (Food),-52
Graph 2 (Food),Graph 10 (Food),-52
Graph 2 (Food),Graph 11 (Food),-52
Graph 2 (Food),Graph 12 (Food),-1
Graph 2 (Food),Graph 13 (Finance),0
Graph 2 (Food),Graph 14 (Finance),0
Graph 2 (Food),Graph 15 (Finance),0
Graph 2 (Food),Graph 16 (Finance),0
Graph 2 (Food),Graph 17 (Finance),0
Graph 2 (Food),Graph 18 (Finance),0
Graph 2 (Food),Graph 19 (Finance),0
Graph 2 (Food),Graph 20 (Finance),0
Graph 2 (Food),Graph 21 (Finance),0
Graph 2 (Food),Graph 22 (Finance),0
Graph 2 (Food),Graph 23 (Finance),0
Graph 2 (Food),Graph 24 (Finance),0
Graph 2 (Food),Graph 25 (Travel),0
Graph 2 (Food),Graph 26 (Travel),0
Graph 2 (Food),Graph 27 (Travel),-1
Graph 2 (Food),Graph 28 (Travel),0
Graph 2 (Food),Graph 29 (Travel),0
Graph 2 (Food),Graph 30 (Travel),-2
Graph 2 (Food),Graph 31 (Travel),0
Graph 2 (Food),Graph 32 (Travel),0
Graph 2 (Food),Graph 33 (Travel),0
Graph 2 (Food),Graph 34 (Travel),0
Graph 2 (Food),Graph 35 (Travel),0
Graph 2 (Food),Graph 36 (Travel),0
Graph 3 (Food),Graph 4 (Food),-47
Graph 3 (Food),Graph 5 (Food),-6
Graph 3 (Food),Graph 6 (Food),-54
Graph 3 (Food),Graph 7 (Food),-55
Graph 3 (Food),Graph 8 (Food),-52
Graph 3 (Food),Graph 9 (Food),-53
Graph 3 (Food),Graph 10 (Food),-52
Graph 3 (Food),Graph 11 (Food),-54
Graph 3 (Food),Graph 12 (Food),-1
Graph 3 (Food),Graph 13 (Finance),0
Graph 3 (Food),Graph 14 (Finance),0
Graph 3 (Food),Graph 15 (Finance),0
Graph 3 (Food),Graph 16 (Finance),0
Graph 3 (Food),Graph 17 (Finance),0
Graph 3 (Food),Graph 18 (Finance),0
Graph 3 (Food),Graph 19 (Finance),0
Graph 3 (Food),Graph 20 (Finance),0
Graph 3 (Food),Graph 21 (Finance),0
Graph 3 (Food),Graph 22 (Finance),0
Graph 3 (Food),Graph 23 (Finance),0
Graph 3 (Food),Graph 24 (Finance),0
Graph 3 (Food),Graph 25 (Travel),-2
Graph 3 (Food),Graph 26 (Travel),-1
Graph 3 (Food),Graph 27 (Travel),-1
Graph 3 (Food),Graph 28 (Travel),-1
Graph 3 (Food),Graph 29 (Travel),-2
Graph 3 (Food),Graph 30 (Travel),-1
Graph 3 (Food),Graph 31 (Travel),-2
Graph 3 (Food),Graph 32 (Travel),0
Graph 3 (Food),Graph 33 (Travel),-2
Graph 3 (Food),Graph 34 (Travel),0
Graph 3 (Food),Graph 35 (Travel),-4
Graph 3 (Food),Graph 36 (Travel),0
Graph 4 (Food),Graph 5 (Food),-2
Graph 4 (Food),Graph 6 (Food),-47
Graph 4 (Food),Graph 7 (Food),-47
Graph 4 (Food),Graph 8 (Food),-47
Graph 4 (Food),Graph 9 (Food),-47
Graph 4 (Food),Graph 10 (Food),-47
Graph 4 (Food),Graph 11 (Food),-47
Graph 4 (Food),Graph 12 (Food),-2
Graph 4 (Food),Graph 13 (Finance),0
Graph 4 (Food),Graph 14 (Finance),0
Graph 4 (Food),Graph 15 (Finance),0
Graph 4 (Food),Graph 16 (Finance),0
Graph 4 (Food),Graph 17 (Finance),0
Graph 4 (Food),Graph 18 (Finance),0
Graph 4 (Food),Graph 19 (Finance),0
Graph 4 (Food),Graph 20 (Finance),0
Graph 4 (Food),Graph 21 (Finance),0
Graph 4 (Food),Graph 22 (Finance),0
Graph 4 (Food),Graph 23 (Finance),0
Graph 4 (Food),Graph 24 (Finance),0
Graph 4 (Food),Graph 25 (Travel),0
Graph 4 (Food),Graph 26 (Travel),-1
Graph 4 (Food),Graph 27 (Travel),-2
Graph 4 (Food),Graph 28 (Travel),-1
Graph 4 (Food),Graph 29 (Travel),0
Graph 4 (Food),Graph 30 (Travel),-2
Graph 4 (Food),Graph 31 (Travel),0
Graph 4 (Food),Graph 32 (Travel),0
Graph 4 (Food),Graph 33 (Travel),0
Graph 4 (Food),Graph 34 (Travel),0
Graph 4 (Food),Graph 35 (Travel),-1
Graph 4 (Food),Graph 36 (Travel),0
Graph 5 (Food),Graph 6 (Food),-5
Graph 5 (Food),Graph 7 (Food),-2
Graph 5 (Food),Graph 8 (Food),-1
Graph 5 (Food),Graph 9 (Food),0
Graph 5 (Food),Graph 10 (Food),-2
Graph 5 (Food),Graph 11 (Food),-4
Graph 5 (Food),Graph 12 (Food),-2
Graph 5 (Food),Graph 13 (Finance),0
Graph 5 (Food),Graph 14 (Finance),0
Graph 5 (Food),Graph 15 (Finance),0
Graph 5 (Food),Graph 16 (Finance),0
Graph 5 (Food),Graph 17 (Finance),0
Graph 5 (Food),Graph 18 (Finance),0
Graph 5 (Food),Graph 19 (Finance),0
Graph 5 (Food),Graph 20 (Finance),0
Graph 5 (Food),Graph 21 (Finance),0
Graph 5 (Food),Graph 22 (Finance),0
Graph 5 (Food),Graph 23 (Finance),0
Graph 5 (Food),Graph 24 (Finance),0
Graph 5 (Food),Graph 25 (Travel),0
Graph 5 (Food),Graph 26 (Travel),-1
Graph 5 (Food),Graph 27 (Travel),-1
Graph 5 (Food),Graph 28 (Travel),-1
Graph 5 (Food),Graph 29 (Travel),0
Graph 5 (Food),Graph 30 (Travel),-2
Graph 5 (Food),Graph 31 (Travel),0
Graph 5 (Food),Graph 32 (Travel),0
Graph 5 (Food),Graph 33 (Travel),-2
Graph 5 (Food),Graph 34 (Travel),0
Graph 5 (Food),Graph 35 (Travel),-1
Graph 5 (Food),Graph 36 (Travel),0
Graph 6 (Food),Graph 7 (Food),-57
Graph 6 (Food),Graph 8 (Food),-53
Graph 6 (Food),Graph 9 (Food),-53
Graph 6 (Food),Graph 10 (Food),-53
Graph 6 (Food),Graph 11 (Food),-58
Graph 6 (Food),Graph 12 (Food),-2
Graph 6 (Food),Graph 13 (Finance),0
Graph 6 (Food),Graph 14 (Finance),0
Graph 6 (Food),Graph 15 (Finance),0
Graph 6 (Food),Graph 16 (Finance),0
Graph 6 (Food),Graph 17 (Finance),0
Graph 6 (Food),Graph 18 (Finance),0
Graph 6 (Food),Graph 19 (Finance),0
Graph 6 (Food),Graph 20 (Finance),0
Graph 6 (Food),Graph 21 (Finance),0
Graph 6 (Food),Graph 22 (Finance),0
Graph 6 (Food),Graph 23 (Finance),0
Graph 6 (Food),Graph 24 (Finance),0
Graph 6 (Food),Graph 25 (Travel),0
Graph 6 (Food),Graph 26 (Travel),0
Graph 6 (Food),Graph 27 (Travel),-2
Graph 6 (Food),Graph 28 (Travel),0
Graph 6 (Food),Graph 29 (Travel),0
Graph 6 (Food),Graph 30 (Travel),-1
Graph 6 (Food),Graph 31 (Travel),0
Graph 6 (Food),Graph 32 (Travel),0
Graph 6 (Food),Graph 33 (Travel),0
Graph 6 (Food),Graph 34 (Travel),-1
Graph 6 (Food),Graph 35 (Travel),-1
Graph 6 (Food),Graph 36 (Travel),0
Graph 7 (Food),Graph 8 (Food),-54
Graph 7 (Food),Graph 9 (Food),-59
Graph 7 (Food),Graph 10 (Food),-54
Graph 7 (Food),Graph 11 (Food),-54
Graph 7 (Food),Graph 12 (Food),-2
Graph 7 (Food),Graph 13 (Finance),0
Graph 7 (Food),Graph 14 (Finance),0
Graph 7 (Food),Graph 15 (Finance),0
Graph 7 (Food),Graph 16 (Finance),0
Graph 7 (Food),Graph 17 (Finance),0
Graph 7 (Food),Graph 18 (Finance),0
Graph 7 (Food),Graph 19 (Finance),0
Graph 7 (Food),Graph 20 (Finance),0
Graph 7 (Food),Graph 21 (Finance),0
Graph 7 (Food),Graph 22 (Finance),0
Graph 7 (Food),Graph 23 (Finance),0
Graph 7 (Food),Graph 24 (Finance),0
Graph 7 (Food),Graph 25 (Travel),-1
Graph 7 (Food),Graph 26 (Travel),0
Graph 7 (Food),Graph 27 (Travel),-1
Graph 7 (Food),Graph 28 (Travel),-1
Graph 7 (Food),Graph 29 (Travel),0
Graph 7 (Food),Graph 30 (Travel),-3
Graph 7 (Food),Graph 31 (Travel),-1
Graph 7 (Food),Graph 32 (Travel),0
Graph 7 (Food),Graph 33 (Travel),0
Graph 7 (Food),Graph 34 (Travel),-1
Graph 7 (Food),Graph 35 (Travel),-1
Graph 7 (Food),Graph 36 (Travel),0
Graph 8 (Food),Graph 9 (Food),-52
Graph 8 (Food),Graph 10 (Food),-53
Graph 8 (Food),Graph 11 (Food),-53
Graph 8 (Food),Graph 12 (Food),-1
Graph 8 (Food),Graph 13 (Finance),0
Graph 8 (Food),Graph 14 (Finance),0
Graph 8 (Food),Graph 15 (Finance),0
Graph 8 (Food),Graph 16 (Finance),0
Graph 8 (Food),Graph 17 (Finance),0
Graph 8 (Food),Graph 18 (Finance),0
Graph 8 (Food),Graph 19 (Finance),0
Graph 8 (Food),Graph 20 (Finance),0
Graph 8 (Food),Graph 21 (Finance),0
Graph 8 (Food),Graph 22 (Finance),0
Graph 8 (Food),Graph 23 (Finance),0
Graph 8 (Food),Graph 24 (Finance),0
Graph 8 (Food),Graph 25 (Travel),0
Graph 8 (Food),Graph 26 (Travel),0
Graph 8 (Food),Graph 27 (Travel),-2
Graph 8 (Food),Graph 28 (Travel),0
Graph 8 (Food),Graph 29 (Travel),0
Graph 8 (Food),Graph 30 (Travel),-1
Graph 8 (Food),Graph 31 (Travel),0
Graph 8 (Food),Graph 32 (Travel),0
Graph 8 (Food),Graph 33 (Travel),0
Graph 8 (Food),Graph 34 (Travel),0
Graph 8 (Food),Graph 35 (Travel),0
Graph 8 (Food),Graph 36 (Travel),0
Graph 9 (Food),Graph 10 (Food),-53
Graph 9 (Food),Graph 11 (Food),-53
Graph 9 (Food),Graph 12 (Food),-2
Graph 9 (Food),Graph 13 (Finance),0
Graph 9 (Food),Graph 14 (Finance),0
Graph 9 (Food),Graph 15 (Finance),0
Graph 9 (Food),Graph 16 (Finance),0
Graph 9 (Food),Graph 17 (Finance),0
Graph 9 (Food),Graph 18 (Finance),0
Graph 9 (Food),Graph 19 (Finance),0
Graph 9 (Food),Graph 20 (Finance),0
Graph 9 (Food),Graph 21 (Finance),0
Graph 9 (Food),Graph 22 (Finance),0
Graph 9 (Food),Graph 23 (Finance),0
Graph 9 (Food),Graph 24 (Finance),0
Graph 9 (Food),Graph 25 (Travel),0
Graph 9 (Food),Graph 26 (Travel),-1
Graph 9 (Food),Graph 27 (Travel),-1
Graph 9 (Food),Graph 28 (Travel),0
Graph 9 (Food),Graph 29 (Travel),0
Graph 9 (Food),Graph 30 (Travel),-1
Graph 9 (Food),Graph 31 (Travel),0
Graph 9 (Food),Graph 32 (Travel),-2
Graph 9 (Food),Graph 33 (Travel),0
Graph 9 (Food),Graph 34 (Travel),0
Graph 9 (Food),Graph 35 (Travel),0
Graph 9 (Food),Graph 36 (Travel),0
Graph 10 (Food),Graph 11 (Food),-56
Graph 10 (Food),Graph 12 (Food),-3
Graph 10 (Food),Graph 13 (Finance),0
Graph 10 (Food),Graph 14 (Finance),0
Graph 10 (Food),Graph 15 (Finance),0
Graph 10 (Food),Graph 16 (Finance),0
Graph 10 (Food),Graph 17 (Finance),0
Graph 10 (Food),Graph 18 (Finance),0
Graph 10 (Food),Graph 19 (Finance),0
Graph 10 (Food),Graph 20 (Finance),0
Graph 10 (Food),Graph 21 (Finance),0
Graph 10 (Food),Graph 22 (Finance),0
Graph 10 (Food),Graph 23 (Finance),0
Graph 10 (Food),Graph 24 (Finance),0
Graph 10 (Food),Graph 25 (Travel),0
Graph 10 (Food),Graph 26 (Travel),0
Graph 10 (Food),Graph 27 (Travel),-1
Graph 10 (Food),Graph 28 (Travel),-1
Graph 10 (Food),Graph 29 (Travel),0
Graph 10 (Food),Graph 30 (Travel),-1
Graph 10 (Food),Graph 31 (Travel),0
Graph 10 (Food),Graph 32 (Travel),0
Graph 10 (Food),Graph 33 (Travel),0
Graph 10 (Food),Graph 34 (Travel),0
Graph 10 (Food),Graph 35 (Travel),0
Graph 10 (Food),Graph 36 (Travel),0
Graph 11 (Food),Graph 12 (Food),-2
Graph 11 (Food),Graph 13 (Finance),0
Graph 11 (Food),Graph 14 (Finance),0
Graph 11 (Food),Graph 15 (Finance),0
Graph 11 (Food),Graph 16 (Finance),0
