Source,Target,Weight
need,hire,1
hire,highli,1
highli,skill,1
skill,profession,1
skill,multipl,1
profession,busi,1
busi,manag,1
busi,excel,1
busi,plan,1
busi,sale,1
manag,consult,1
manag,transform,1
manag,plan,1
manag,audit,1
manag,busi,1
consult,toptal,1
consult,practic,1
toptal,help,1
toptal,share,1
help,network,1
help,mission-crit,1
network,best,1
best,remot,1
remot,expert,1
expert,help,1
mission-crit,project,1
project,no-risk,1
project,divers,1
project,chang,1
project,allow,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,role,1
brand,startup,1
startup,watch,1
startup,strong,1
watch,case,18
case,studi,18
studi,watch,17
studi,marvin,1
marvin,deliv,1
marvin,design,1
deliv,busi,1
excel,initi,1
initi,world,1
initi,shell,1
world,'s,1
's,largest,1
's,merit,1
's,first,1
's,growth,1
's,vast,1
largest,corpor,1
corpor,sinc,1
corpor,best-practic,1
sinc,1990,1
1990,manag,1
transform,project,1
divers,complex,1
complex,chang,1
chang,environ,1
chang,manag,1
environ,variou,1
variou,market,1
variou,industri,1
variou,debt,1
variou,compani,1
market,includ,1
includ,energi,1
includ,equiti,1
includ,strateg,1
energi,manufactur,1
manufactur,industri,1
industri,util,1
industri,includ,1
util,marvin,1
design,led,1
led,project,1
led,major,1
led,compani,1
led,toptal,1
plan,peopl,1
plan,manag,1
plan,contract,1
plan,analysi,1
plan,david,1
peopl,process,1
process,technolog,1
process,previous,1
technolog,data,1
data,previous,1
previous,park,1
previous,leoron,1
previous,tecon,1
previous,staytoday,1
previous,transaxl,1
park,derochi,1
derochi,olivi,1
olivi,launch,1
launch,consult,1
practic,25-year,1
25-year,financi,1
financi,career,1
financi,process,1
financi,statement,1
career,eastern,1
eastern,europ,1
europ,work,1
work,cfo,1
work,challeng,1
cfo,control,1
cfo,award,1
cfo,remanufactur,1
control,fortun,1
control,schlumberg,1
fortun,100,1
100,cac40,1
cac40,subsidiari,1
subsidiari,public,1
public,alstom,1
alstom,mondelez,1
mondelez,combin,1
combin,audit,1
audit,lead,1
audit,erm,1
role,kpmg,1
kpmg,mazar,1
mazar,enjoy,1
enjoy,freelanc,1
enjoy,use,1
freelanc,provid,1
provid,opportun,1
opportun,meet,1
opportun,involv,1
meet,fascin,1
fascin,entrepreneur,1
entrepreneur,work,1
challeng,project,1
allow,leverag,1
leverag,corpor,1
best-practic,experi,1
experi,improv,1
experi,shell,1
experi,advis,1
experi,led,1
improv,account,1
account,financi,1
account,busi,1
leoron,institut,1
institut,saadat,1
saadat,financ,1
saadat,led,1
financ,execut,1
financ,valuat,1
execut,30,1
30,year,1
year,enterpris,1
year,led,1
enterpris,leadership,1
enterpris,team,1
leadership,experi,1
leadership,previous,1
shell,johnson,1
shell,global,1
johnson,control,1
schlumberg,across,1
across,six,1
six,countri,1
countri,three,1
three,contin,1
contin,deep,1
deep,expertis,1
expertis,fp,1
expertis,includ,1
fp,account,1
erm,saadat,1
major,initi,1
global,cfo,1
award,jci,1
award,add,1
jci,'s,1
merit,award,1
add,except,1
except,valu,1
valu,enterpris,1
team,success,1
success,collabor,1
success,sale,1
success,plan,1
collabor,decis,1
decis,leadership,1
tecon,limit,1
limit,qualifi,1
qualifi,ca,1
ca,henni,1
henni,involv,1
involv,transact,1
involv,variou,1
transact,variou,1
transact,nedbank,1
transact,enjoy,1
transact,sustain,1
equiti,transact,2
equiti,firm,1
nedbank,paytoday,1
paytoday,namibia,1
paytoday,identitytoday,1
namibia,'s,1
namibia,paytoday,1
first,fintech,1
fintech,startup,1
strong,background,1
background,oper,1
oper,financ,1
valuat,variou,1
debt,equiti,1
use,experi,1
advis,client,1
client,propos,1
propos,transact,1
sustain,futur,1
futur,strategi,1
strategi,consid,1
consid,intrins,1
intrins,nuanc,1
nuanc,opportun,1
compani,cultur,1
compani,'s,1
compani,previous,1
cultur,structur,1
structur,previous,1
staytoday,book,1
book,namibia,1
identitytoday,david,1
david,cfo,1
david,'s,1
remanufactur,distribut,1
distribut,organ,1
organ,36,1
36,year,1
growth,eight,1
eight,acquisit,1
acquisit,open,1
open,15,1
15,greenfield,1
greenfield,locat,1
locat,two,1
two,success,1
sale,privat,1
sale,success,1
privat,equiti,1
firm,area,1
area,expertis,1
strateg,plan,1
contract,review,1
review,financi,1
statement,analysi,1
analysi,insur,1
analysi,hr,1
insur,plan,1
hr,manag,1
vast,experi,1
share,skill,1
multipl,compani,1
