Source,Target,Weight
well,amaz,1
well,food,1
amaz,last,1
amaz,tast,1
last,post,1
post,kinda,1
post,back,1
kinda,kept,1
kinda,felt,1
kept,get,1
get,distract,1
distract,food,1
food,well,1
food,post,1
food,basqu,1
back,matter,1
matter,hand,1
hand,–,1
–,pintxo,1
–,absolut,1
–,like,1
–,mani,1
–,’,1
–,start,1
pintxo,pintxo,1
pintxo,technic,1
pintxo,two,1
pintxo,town,1
pintxo,’,2
pintxo,amaz,1
pintxo,board,1
pintxo,aratz,1
pintxo,excit,1
technic,hor,1
hor,’,1
’,oeuvr,1
’,know,1
’,actual,1
’,basic,1
’,quit,1
’,doing…,1
’,fan,1
’,fresh,1
’,even,2
’,see,1
’,took,1
’,tri,1
oeuvr,pretti,1
pretti,much,1
much,turn,1
much,better,1
turn,main,1
main,meal,1
meal,idea,1
meal,even,1
idea,basic,1
basic,go,1
basic,hook,1
go,one,1
one,bar,1
one,made,1
one,–,1
one,knew,1
bar,littl,1
bar,crawl,1
bar,sampl,1
littl,pintxo,1
littl,drink,1
two,friend,1
friend,famili,1
famili,also,1
also,littl,1
drink,’,1
know,sound,1
know,felt,1
know,mean,1
sound,like,1
like,bar,1
like,head,1
like,fish,1
like,anyon,1
crawl,anyth,1
anyth,’,1
actual,like,1
head,mini,1
mini,restaur,1
restaur,quick,1
quick,dine,1
dine,experience…,1
experience…,place,1
place,fuego,1
fuego,negro,1
negro,best,1
best,gourmet,1
best,thing,2
gourmet,pintxo,1
town,like,1
fish,ice,1
fish,definit,1
ice,cream…,1
ice,cream,2
cream…,least,1
least,think,1
think,fish,1
think,’,1
definit,someth,1
definit,foodi,1
someth,seafood-i,1
seafood-i,choic,1
choic,squid,1
squid,ink,1
ink,ice,1
cream,creami,1
cream,…,1
creami,rice,1
rice,conflict,1
conflict,eat,1
eat,still,1
eat,pepper,1
eat,kinda,1
still,manag,1
manag,wolf,1
wolf,second,1
second,though,1
though,lloyd,1
lloyd,’,1
hook,twitter,1
twitter,milou,1
milou,‘,1
milou,’,1
‘,doing…,1
doing…,er…,1
doing…,eventu,1
er…,’,1
quit,sure,1
sure,milou,1
eventu,move,1
move,along,1
move,spend,1
along,bar,1
sampl,pintxo,1
fan,bread-bas,1
bread-bas,meal,1
bread-bas,pintxo,1
even,bread-bas,1
even,know,2
tast,much,1
tast,good,1
better,imagin,1
imagin,one,1
made,realli,1
realli,want,1
realli,catch,1
want,tri,1
tri,next,1
tri,say,1
next,one,1
absolut,brilliant,1
brilliant,think,1
fresh,everyth,1
everyth,tast,1
good,disclaim,1
good,basqu,1
disclaim,eat,1
pepper,😉,1
pepper,eat,1
😉,’,1
felt,need,1
felt,necessari,1
need,say,1
say,–,1
say,final,1
anyon,would,1
would,grab,1
grab,raw,1
raw,pepper,1
necessari,highlight,1
highlight,🙂,1
🙂,let,1
let,’,1
see,good,1
basqu,–,1
basqu,countri,1
mani,pintxo,1
mani,choos,1
board,translat,1
translat,english,1
english,local,1
local,languag,1
languag,patrizia,1
patrizia,seem,1
seem,readi,1
readi,fli,1
fli,delight,1
delight,pintxo,1
aratz,pintxo,1
excit,realli,1
catch,pintxo,1
took,anoth,1
anoth,level,1
level,sweet,1
level,’,1
sweet,level,1
mean,–,1
final,time,1
time,dessert,1
dessert,–,1
start,ice,1
…,follow,1
follow,cake,1
cake,sooooo,1
cake,wash,1
sooooo,mani,1
choos,soon,1
soon,saw,1
saw,one,1
knew,look,1
look,cake,1
wash,nice,1
nice,coffe,1
coffe,could,1
could,bare,1
bare,move,1
spend,minut,1
minut,recov,1
recov,food,1
countri,definit,1
countri,read,1
foodi,countri,1
read,best,1
thing,san,2
san,sebastian,2
sebastian,11,1
sebastian,spain,1
11,best,1
spain,danc,1
danc,ninja,1
ninja,cambridg,1
cambridg,grad,1
grad,cooki,1
cooki,monster,1
monster,email,1
email,address,1
