Source,Target,Weight
grill,salmon,4
grill,outdoor,1
grill,chicken,2
grill,use,1
grill,cover,1
grill,let,1
grill,discard,1
grill,point,1
grill,swordfish,1
salmon,bruschetta,1
salmon,easi,1
salmon,salad,1
salmon,recip,3
salmon,skewer,1
salmon,dish,1
salmon,whip,1
salmon,grill,1
salmon,skin,2
salmon,serv,1
bruschetta,avocado,1
bruschetta,”,1
bruschetta,make,1
avocado,go-to,1
avocado,“,1
avocado,classic,1
avocado,bruschetta,1
go-to,summer,1
summer,recip,1
summer,long,1
summer,ad,1
recip,’,2
recip,love,1
recip,went,1
recip,idea,1
recip,everi,1
’,easi,1
’,grill,1
’,like,2
’,agre,1
’,ok,1
’,break,1
easi,fresh,1
easi,make,1
fresh,flavor,1
fresh,tomato,1
flavor,must,1
must,tri,1
tri,grill,1
make,foolproof,2
foolproof,method,1
foolproof,salmon,1
method,’,1
outdoor,summer,1
long,top,1
top,fresh,1
tomato,avocado,1
tomato,salad,1
“,bruschetta,1
”,dish,1
dish,scream,1
dish,serv,1
scream,summer,1
ad,avocado,1
classic,tomato,1
salad,pretti,1
salad,would,1
salad,post,1
pretti,geniu,1
geniu,’,1
like,salmon,2
like,would,1
like,receiv,1
would,also,1
would,oven,1
would,go,1
would,like,1
also,good,1
good,grill,1
good,know,1
chicken,even,1
chicken,prefer,1
even,toast,1
even,grill,1
toast,salmon,1
love,blacken,1
love,everyth,1
blacken,grill,1
skewer,air,1
air,fryer,1
fryer,salmon,1
went,fire,1
fire,island,1
island,last,1
last,week,1
week,closest,1
week,pleas,1
closest,high,1
high,school,1
school,friend,1
friend,kid,1
friend,kim,1
kid,sit,1
sit,beach,1
beach,talk,1
talk,friend,1
kim,recip,1
idea,ye,1
idea,new,1
ye,food,1
food,alway,1
alway,mind,1
mind,mention,1
mention,salmon,1
mention,skinnytast,1
serv,restaur,1
serv,grill,1
restaur,work,1
work,love,1
everyth,next,1
next,day,1
day,pick,1
pick,salmon,1
whip,turn,1
turn,good,1
turn,depend,1
know,’,1
agre,avocado,1
use,salmon,1
use,mailchimp,1
skin,lay,1
skin,side,1
skin,’,1
skin,stick,1
lay,salmon,1
side,directli,1
directli,grill,1
cover,grill,1
let,cook,1
cook,like,1
oven,turn,1
depend,thick,1
thick,take,1
take,10,1
10,minut,1
minut,remov,1
remov,grill,1
discard,char,1
char,skin,1
ok,skin,1
stick,grill,1
point,fish,1
fish,’,1
break,protect,1
protect,meat,1
meat,hope,1
hope,enjoy,1
enjoy,grill,1
swordfish,even,1
prefer,would,1
go,great,1
great,orzo,1
orzo,couscou,1
couscou,crusti,1
crusti,bread,1
bread,big,1
big,green,1
green,salad,1
post,pic,1
pic,mention,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
meal,idea,1
new,recip,1
everi,week,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
receiv,email,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
time,click,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
